GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleComponentTypesConverter,14,3,0,0,2,1,2,1,2,1
Entando Component Manager,org.entando.kubernetes.model.bundle,BundleProperty,0,48,0,0,0,8,0,3,0,3
Entando Component Manager,org.entando.kubernetes.model.bundle,EntandoBundle,0,19,1,3,0,2,1,3,0,2
Entando Component Manager,org.entando.kubernetes.model.bundle,ComponentType,3,185,0,0,1,20,1,5,1,5
Entando Component Manager,org.entando.kubernetes.model.bundle,EntandoBundleVersion,0,19,0,0,0,4,0,2,0,2
Entando Component Manager,org.entando.kubernetes.exception.http,HttpBadRequestException,2,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.exception.http,HttpNotFoundException,0,2,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterOperator,12,95,1,3,1,14,1,5,0,4
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils,240,112,35,13,46,30,35,10,11,6
Entando Component Manager,org.entando.kubernetes.model.web.request,Filter,0,13,0,0,0,5,0,1,0,1
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType,96,0,4,0,14,0,6,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,RequestListProcessor,3,140,10,18,1,31,11,10,1,6
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterUtils.EntandoFilterException,16,0,0,0,8,0,4,0,4,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},10,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},9,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},11,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,FilterType.new FilterType() {...},12,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.web.request,PagedListRequest,28,96,6,10,8,19,7,6,1,4
Entando Component Manager,org.entando.kubernetes.security.oauth2,OAuthIdpTokenResponseDTO,87,0,0,0,38,0,25,0,25,0
Entando Component Manager,org.entando.kubernetes.security.oauth2,AuthorizationHeaderUtil,318,13,18,0,73,5,15,1,6,1
Entando Component Manager,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,48,3,2,0,10,1,5,1,4,1
Entando Component Manager,org.entando.kubernetes.security.oauth2,AudienceValidator,42,0,4,0,8,0,4,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,BundleNotInstalledException,0,4,0,0,0,2,0,1,0,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,InvalidBundleException,21,4,0,0,9,2,5,1,5,1
Entando Component Manager,org.entando.kubernetes.exception.digitalexchange,DigitalExchangeNotFoundException,5,0,0,0,2,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.service.digitalexchange.entandocore,EntandoDefaultOAuth2RequestAuthenticator,5,22,1,1,1,5,1,2,0,2
Entando Component Manager,org.entando.kubernetes.model.bundle.descriptor.plugin,PluginDescriptor,0,25,0,4,0,6,0,4,0,2
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleComponentJob,27,0,0,0,10,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.job,JobOperation,3,0,0,0,1,0,1,0,1,0
Entando Component Manager,org.entando.kubernetes.model.job,JobResult,8,10,1,1,3,2,3,2,2,2
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleJobEntity,46,4,0,0,12,2,1,1,1,1
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleJob,0,44,0,0,0,14,0,2,0,2
Entando Component Manager,org.entando.kubernetes.model.job,JobType,0,160,0,0,0,12,0,4,0,4
Entando Component Manager,org.entando.kubernetes.model.job,EntandoBundleComponentJobEntity,46,0,0,0,13,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.job,ImageConverter,2,17,2,2,0,3,2,3,0,3
Entando Component Manager,org.entando.kubernetes.model.job,JobProgress,49,0,0,0,12,0,5,0,5,0
Entando Component Manager,org.entando.kubernetes.model.job,JobTracker,24,88,4,4,6,23,6,6,2,6
Entando Component Manager,org.entando.kubernetes.model.job,JobStatus,4,118,0,0,1,13,1,2,1,2
Entando Component Manager,org.entando.kubernetes.model.job,HashMapConverter,36,7,4,0,14,2,4,2,2,2
Entando Component Manager,org.entando.kubernetes.model.job,JobScheduler,121,13,8,0,42,4,14,1,10,1
Entando Component Manager,org.entando.kubernetes.service.digitalexchange,BundleUtilities,0,364,0,12,0,85,0,27,0,21
Entando Component Manager,org.entando.kubernetes.client.core,DefaultEntandoCoreClient,350,612,4,6,34,67,16,26,12,25
Entando Component Manager,org.entando.kubernetes.client.core,DefaultEntandoCoreClient.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Entando Component Manager,org.entando.kubernetes.exception.web,ConflictException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,UnprocessableEntityException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,HttpException,21,10,0,0,8,4,2,1,2,1
Entando Component Manager,org.entando.kubernetes.exception.web,ValidationErrorResponse,48,0,2,0,13,0,5,0,4,0
Entando Component Manager,org.entando.kubernetes.exception.web,NotFoundException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.exception.web,BadRequestException,20,0,0,0,8,0,4,0,4,0
Entando Component Manager,org.entando.kubernetes.exception.web,InternalServerException,11,0,0,0,4,0,2,0,2,0
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,PageTemplateProcessor,41,64,2,4,9,15,5,5,4,3
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,FileProcessor,35,99,3,3,6,21,5,5,3,4
Entando Component Manager,org.entando.kubernetes.model.bundle.processor,CategoryProcessor,41,60,2,4,9,14,5,5,4,3
