GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,URLManager,318,7,40,0,74,2,33,2,13,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,PageURL,12,0,0,0,5,0,3,0,3,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoDataByLang,172,0,16,0,36,0,23,0,15,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoData,137,0,14,0,27,0,19,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoMetaTag,75,0,0,0,21,0,11,0,11,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoPageRequest,60,0,6,0,16,0,10,0,7,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page,SeoPageController,181,71,16,2,36,15,12,7,4,6
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagDOM,98,0,2,0,26,0,5,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagCatalog,53,0,2,0,17,0,6,0,5,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,Metatag,53,0,0,0,17,0,12,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageService,806,4,48,0,187,1,42,1,18,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,PageMetatag,220,0,20,0,60,0,26,0,16,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDAO,51,97,2,6,9,21,3,5,1,3
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageExtraConfigDOM,725,73,70,6,174,21,46,4,8,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageMetadata,238,124,51,21,61,27,44,7,8,7
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDto,16,6,0,0,3,2,2,2,2,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping.event,SeoChangedEvent,17,0,0,0,7,0,5,0,5,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,CurrentPageTag,390,0,72,0,92,0,44,0,8,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagsTag,294,0,34,0,69,0,26,0,9,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SiteMapTag,383,0,40,0,93,0,35,0,15,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,PageInfoTag,239,0,40,0,56,0,24,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,ContentTag,128,0,18,0,30,0,15,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagTag,276,0,36,0,73,0,30,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.tags,SeoMetatagCatalogTag,73,0,0,0,18,0,6,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.validator,SeoPageValidator,71,4,20,0,16,1,12,1,2,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.init.portdb,FriendlyCode,0,3,0,0,0,1,0,1,0,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,SeoMappingManager,456,37,58,0,106,13,39,8,10,8
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,SeoMappingDAO,250,39,3,1,66,13,11,3,9,3
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,FriendlyCodeVO,52,0,0,0,23,0,11,0,11,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping,ContentFriendlyCode,31,0,0,0,9,0,6,0,6,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.linkresolver,LinkResolverManager,211,0,28,0,53,0,19,0,5,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.util,FriendlyCodeGenerator,46,0,4,0,9,0,4,0,2,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.sitemap,SitemapAction,354,0,32,0,78,0,25,0,9,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.mapping.cache,SeoMappingCacheWrapper,211,81,18,4,39,22,16,5,5,5
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageAction,220,0,22,0,59,0,23,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageActionAspect,579,0,64,0,137,0,50,0,18,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageSettingsAction,140,0,18,0,33,0,13,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageSettingsActionAspect,148,320,23,31,35,86,20,19,1,11
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,PageSettingsUtils,3,43,8,10,1,12,9,2,1,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.portal,SeoPageActionUtils,259,0,14,0,49,0,15,0,8,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.controller.control,RequestValidator,346,11,42,0,89,3,28,2,7,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.content.widget,ContentViewerHelper,50,0,8,0,11,0,7,0,3,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system,JpseoSystemConstants,3,0,0,0,1,0,1,0,1,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.apsadmin.content.helper,ContentActionHelperAspect,219,0,22,0,46,0,20,0,9,0
